1,  2024-09-28 17:08:07.428,  2024-09-28 17:14:29.938, 4555800
25,  2024-09-28 17:14:29.770,  2024-09-28 17:14:31.379, 1
6,  2024-09-28 17:08:07.353,  2024-09-28 17:17:09.968, 6370524
16,  2024-09-28 17:08:08.190,  2024-09-28 17:21:21.009, 9221867
2,  2024-09-28 17:21:20.077,  2024-09-28 17:26:28.827, 3535773
12,  2024-09-28 17:14:31.570,  2024-09-28 17:28:57.094, 10128650
17,  2024-09-28 17:17:10.330,  2024-09-28 17:36:05.182, 12960388
10,  2024-09-28 17:28:57.812,  2024-09-28 17:40:28.236, 8302327
21,  2024-09-28 17:26:29.356,  2024-09-28 17:47:56.339, 14868640
18,  2024-09-28 17:36:05.345,  2024-09-28 17:55:44.429, 13560612
22,  2024-09-28 17:40:27.526,  2024-09-28 17:57:28.447, 11716800
11,  2024-09-28 17:47:56.087,  2024-09-28 17:57:54.451, 6876701
0,  2024-09-28 17:57:28.731,  2024-09-28 18:03:52.542, 4466162
3,  2024-09-28 17:57:55.104,  2024-09-28 18:04:54.551, 4846170
14,  2024-09-28 17:55:43.932,  2024-09-28 18:11:38.639, 10768946
15,  2024-09-28 17:08:07.826,  2024-09-28 18:11:46.641, 11283096
23,  2024-09-28 17:08:07.478,  2024-09-28 18:21:04.750, 16813336
13,  2024-09-28 18:11:39.266,  2024-09-28 18:22:22.763, 7727466
7,  2024-09-28 18:11:46.374,  2024-09-28 18:22:45.770, 7560920
4,  2024-09-28 18:22:46.391,  2024-09-28 18:29:50.855, 4996228
9,  2024-09-28 18:21:05.212,  2024-09-28 18:31:45.874, 7965687
19,  2024-09-28 18:22:22.372,  2024-09-28 18:37:50.954, 10678018
20,  2024-09-28 18:31:45.700,  2024-09-28 18:51:30.142, 14756670
24,  2024-09-28 18:29:50.890,  2024-09-28 18:52:16.181, 16786591
5,  2024-09-28 18:04:54.121,  2024-09-28 18:55:30.273, 3866885
8,  2024-09-28 18:03:52.601,  2024-09-28 18:56:50.285, 5747293
